source_id,specimen_id,matrix_id,additive_id,additive_fraction_dry,firing_temperature_C,property,value,unit,replicate_id,file,sheet,cell,evidence_status
30157108,Y|Ref|1020|A,Y,,0.0,1020,dry_diameter_reading_3,18.61,mm,A,public-data/30157108/DTU Data - Brick Pellet Production.xlsx,High and Diameter,E9,measured
30157108,Y|Ref|1020|A,Y,,0.0,1020,dry_height_reading_1,5.98,mm,A,public-data/30157108/DTU Data - Brick Pellet Production.xlsx,High and Diameter,G9,measured
30157108,Y|Ref|1020|A,Y,,0.0,1020,dry_height_reading_2,5.99,mm,A,public-data/30157108/DTU Data - Brick Pellet Production.xlsx,High and Diameter,H9,measured
30157108,Y|Ref|1020|A,Y,,0.0,1020,dry_height_reading_3,6.17,mm,A,public-data/30157108/DTU Data - Brick Pellet Production.xlsx,High and Diameter,I9,measured
30157108,Y|Ref|1020|A,Y,,0.0,1020,fired_diameter_reading_1,18.61,mm,A,public-data/30157108/DTU Data - Brick Pellet Production.xlsx,High and Diameter,N9,measured
30157108,Y|Ref|1020|A,Y,,0.0,1020,fired_diameter_reading_2,18.63,mm,A,public-data/30157108/DTU Data - Brick Pellet Production.xlsx,High and Diameter,O9,measured
30157108,Y|Ref|1020|A,Y,,0.0,1020,fired_diameter_reading_3,18.69,mm,A,public-data/30157108/DTU Data - Brick Pellet Production.xlsx,High and Diameter,P9,measured
30157108,Y|Ref|1020|A,Y,,0.0,1020,fired_height_reading_1,6.13,mm,A,public-data/30157108/DTU Data - Brick Pellet Production.xlsx,High and Diameter,R9,measured
30157108,Y|Ref|1020|A,Y,,0.0,1020,fired_height_reading_2,6.02,mm,A,public-data/30157108/DTU Data - Brick Pellet Production.xlsx,High and Diameter,S9,measured
30157108,Y|Ref|1020|A,Y,,0.0,1020,fired_height_reading_3,6.0,mm,A,public-data/30157108/DTU Data - Brick Pellet Production.xlsx,High and Diameter,T9,measured
30157108,Y|Ref|1020|A,Y,,0.0,1020,dry_diameter_mean,18.606666666666666,mm,A,public-data/30157108/DTU Data - Brick Pellet Production.xlsx,High and Diameter,F9,source_derived
30157108,Y|Ref|1020|A,Y,,0.0,1020,dry_height_mean,6.046666666666667,mm,A,public-data/30157108/DTU Data - Brick Pellet Production.xlsx,High and Diameter,J9,source_derived
30157108,Y|Ref|1020|A,Y,,0.0,1020,fired_diameter_mean,18.64333333333333,mm,A,public-data/30157108/DTU Data - Brick Pellet Production.xlsx,High and Diameter,Q9,source_derived
