dt_s,time_s,solid_mol,product_gas_mol,carrier_mol,temperature_k,pressure_pa,internal_energy_j,temperature_error_bound_k,error_solid_mol,error_temperature_k,error_pressure_pa,error_energy_j,error_carbon_mol,error_nitrogen_mol,error_mass_kg,error_prefix_energy_j
0.015625,0.234375,0.007910670079843534,0.0020893299201564628,0.01,311.21495325062983,313069.3579411538,-23.473387854459705,2.5015392597457313e-09,1.897134057488037e-08,0.00011099270216163859,0.602348055341281,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
0.015625,0.25,0.007788027753080655,0.002211972246919342,0.01,311.93628578589505,316974.4463542561,-23.473387854459705,2.4774973783236905e-09,1.9922366605376607e-08,0.00011779735331174379,0.6361738961422816,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
0.015625,0.265625,0.007667286800052491,0.0023327131999475057,0.01,312.6539548555382,320840.9971270545,-23.473387854459705,2.4536208000789444e-09,2.083934429013279e-08,0.00012451723620188204,0.6692536624032073,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
0.015625,0.28125,0.007548417742990849,0.0024515822570091482,0.01,313.3679013666788,324669.2692618832,-23.473387854459705,2.4298052287903385e-09,2.172310077565992e-08,0.00013115079178760425,0.7015949048218317,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.015625,0.296875,0.007431391561133331,0.0025686084388666665,0.01,314.0780677418602,328459.51946199476,-23.473387854459705,2.4061335144211496e-09,2.257444574760986e-08,0.00013769652480277728,0.7332051050034352,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
0.015625,0.3125,0.0073161796836381885,0.0026838203163618082,0.01,314.7843979295896,332212.0022682492,-23.473387854459705,2.3825598122278864e-09,2.3394171770781125e-08,0.00014415300455539182,0.7640916800010018,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
0.015625,0.328125,0.007202753982609024,0.002797246017390973,0.01,315.4868374136761,335926.9701905988,-23.473387854459705,2.359116440230867e-09,2.418305462565523e-08,0.00015051886481387555,0.7942619895329699,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
0.015625,0.34375,0.007091086766227623,0.0029089132337723742,0.01,316.1853332213758,339604.6738344241,-23.473387854459705,2.3357247196345365e-09,2.4941853638861533e-08,0.00015679280375024973,0.823723339708522,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
0.015625,0.359375,0.006981150771993261,0.003018849228006736,0.01,316.8798339303534,343245.3620217752,-23.473387854459705,2.3124673913410895e-09,2.567131200236633e-08,0.0001629735849064673,0.8524829901871271,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
0.015625,0.375,0.006872919160066822,0.0031270808399331755,0.01,317.57028967447377,346849.28190758283,-23.473387854459705,2.2892823884788826e-09,2.637215709960089e-08,0.00016906003617123133,0.8805481572053395,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
