scenario_id,tau,cell_index,xi_left,xi_right,u,v,f
R01,1.2000000000000002,13,0.8666666666666667,0.93333333333333335,0.52784048393073402,0.47215951606926598,0.47057560132400855
R01,1.2000000000000002,14,0.93333333333333335,1,0.55432147409028021,0.4456785259097199,0.45923811964907868
R01,1.3,0,0,0.066666666666666666,0.36493414211424907,0.63506585788575109,0.51953327072360678
R01,1.3,1,0.066666666666666666,0.13333333333333333,0.36664573288889557,0.63335426711110454,0.51878137528944768
R01,1.3,2,0.13333333333333333,0.20000000000000001,0.37007533308862628,0.62992466691137383,0.51727345520618673
R01,1.3,3,0.20000000000000001,0.26666666666666666,0.37523569654795935,0.6247643034520407,0.51500135615595699
R01,1.3,4,0.26666666666666666,0.33333333333333331,0.38214574340060881,0.61785425659939142,0.51195310961259755
R01,1.3,5,0.33333333333333331,0.40000000000000002,0.39083030192598117,0.60916969807401888,0.5081132557119421
R01,1.3,6,0.40000000000000002,0.46666666666666667,0.40131975549234572,0.59868024450765445,0.50346328550641317
R01,1.3,7,0.46666666666666667,0.53333333333333333,0.41364958735912649,0.58635041264087362,0.49798221174158575
R01,1.3,8,0.53333333333333333,0.59999999999999998,0.42785981476179413,0.57214018523820598,0.49164727832661115
R01,1.3,9,0.59999999999999998,0.66666666666666663,0.44399430272698615,0.55600569727301397,0.48443481876746741
R01,1.3,10,0.66666666666666663,0.73333333333333328,0.46209994757149314,0.53790005242850714,0.47632127271456637
R01,1.3,11,0.73333333333333328,0.80000000000000004,0.48222572016547161,0.51777427983452862,0.46728436713893423
R01,1.3,12,0.80000000000000004,0.8666666666666667,0.50442155994498616,0.49557844005501411,0.45730446417405857
R01,1.3,13,0.8666666666666667,0.93333333333333335,0.52873711251181899,0.47126288748818129,0.44636607103691517
R01,1.3,14,0.93333333333333335,1,0.55522030663427735,0.44477969336572309,0.43445949841664877
R01,1.4000000000000001,0,0,0.066666666666666666,0.36637120652624156,0.63362879347375856,0.50088633705456553
R01,1.4000000000000001,1,0.066666666666666666,0.13333333333333333,0.36810134376904902,0.63189865623095109,0.50007533933052561
R01,1.4000000000000001,2,0.13333333333333333,0.20000000000000001,0.3715673602162467,0.62843263978375352,0.49844985494007754
R01,1.4000000000000001,3,0.20000000000000001,0.26666666666666666,0.37678064943937828,0.62321935056062194,0.49600302728555556
R01,1.4000000000000001,4,0.26666666666666666,0.33333333333333331,0.38375807421064251,0.61624192578935766,0.49272487678002075
R01,1.4000000000000001,5,0.33333333333333331,0.40000000000000002,0.39252168869392412,0.60747831130607599,0.48860267288504844
R01,1.4000000000000001,6,0.40000000000000002,0.46666666666666667,0.40309836040273606,0.59690163959726394,0.4836214390239828
R01,1.4000000000000001,7,0.46666666666666667,0.53333333333333333,0.41551928582704639,0.58448071417295377,0.47776459678005823
R01,1.4000000000000001,8,0.53333333333333333,0.59999999999999998,0.42981939268691483,0.57018060731308551,0.47101475585465635
R01,1.4000000000000001,9,0.59999999999999998,0.66666666666666663,0.44603662125459714,0.55396337874540313,0.46335465523111641
